src,dest,dist
AAL,AGP,2507638
AAL,ALC,2226669
AAL,AMS,624999
AAL,ARN,551025
AAL,BCN,1842861
AAL,BLL,156625
AAL,CPH,238869
AAL,IST,2249825
AAL,LGW,930277
AAL,OSL,352973
AAL,PMI,2017867
AAL,SVG,318569
ABQ,ATL,2042739
ABQ,BWI,2687987
ABQ,DAL,933784
ABQ,DEN,561827
ABQ,DFW,915507
ABQ,HOU,1221740
ABQ,IAH,1196928
ABQ,JFK,2937871
ABQ,LAS,782802
ABQ,LAX,1089899
ABQ,MCI,1156062
ABQ,MDW,1803994
ABQ,MSP,1577983
ABQ,OAK,1430255
ABQ,ORD,1798900
ABQ,PDX,1788156
ABQ,PHX,528587
ABQ,SAN,1011132
ABQ,SEA,1898398
ABQ,SFO,1442364
ABQ,SLC,793335
ABV,ACC,902442
ABV,ADD,3466621
ABV,CAI,3430829
ABV,CDG,4456863
ABV,FRA,4549330
ABV,LHR,4761249
ABV,LOS,511084
ABZ,AMS,704691
ABZ,BGO,549843
ABZ,BHD,368092
ABZ,BHX,529335
ABZ,BRS,648619
ABZ,CDG,964637
ABZ,CPH,931769
ABZ,DUB,493778
ABZ,EMA,489733
ABZ,FRA,1066678
ABZ,LBA,372950
ABZ,LCY,650703
ABZ,LGW,686389
ABZ,LHR,647815
ABZ,LTN,604645
ABZ,MAN,428442
ABZ,NCL,243039
ABZ,NWI,550852
ABZ,OSL,838056
ABZ,RIX,1578192
ABZ,SVG,498634
ACA,IAH,1532386
ACA,MEX,305194
ACA,MTY,999539
ACA,TIJ,2461524
ACC,ABV,902442
ACC,ADD,4316930
ACC,AMS,5197688
ACC,BEY,4825084
ACC,CAI,4278838
ACC,CMN,3168341
ACC,DKR,2148317
ACC,DXB,6292962
ACC,FCO,4195009
ACC,FRA,4991188
ACC,IST,4865142
ACC,JFK,8225011
ACC,JNB,4662859
ACC,LHR,5084705
ACC,LIS,3784214
ACC,LOS,400782
ACC,MAD,3879448
ACC,NBO,4194333
ADA,ADB,731333
ADA,AYT,399145
ADA,ESB,401998
ADA,IST,714185
ADA,JED,1737012
ADA,SAW,675749
ADA,TZX,592355
ADB,ADA,731333
ADB,AMS,2329945
ADB,ARN,2464256
ADB,ATH,284465
ADB,AYT,356980
ADB,BHX,2727920
ADB,BRE,2163876
ADB,BRU,2265266
ADB,BSL,1897622
