src,dest,dist
LIM,CUZ,586353
CUZ,LIM,586353
TFS,GVA,2832827
MNL,DWC,6938314
ZRH,LPA,3001708
GVA,LPA,2771226
BOG,UIO,710324
ZRH,BOD,772820
ZRH,BRS,924996
BOD,ZRH,772820
DWC,MNL,6938314
LPA,ZRH,3001708
CGY,MNL,752200
ZRH,LCA,2508634
DKR,LOS,2447090
MNL,CGY,752200
UIO,BOG,710324
LCA,ZRH,2508634
LOS,ACC,400782
BRS,ZRH,924996
ACC,LOS,400782
ACC,DKR,2148317
LOS,DKR,2447090
DKR,ACC,2148317
PER,SIN,3895068
SIN,HAK,2173040
TLS,CMN,1379285
BGY,CMN,2011342
BKK,SIN,1409883
REP,SIN,1334000
SDQ,SXM,695103
CUF,CMN,1805194
CMN,BLQ,2044616
DRS,ZRH,556916
BCN,CMN,1226712
KIX,MNL,2629047
SIN,HGH,3638041
TLH,TPA,321300
MCO,RSW,214372
CMN,SAW,3356780
SIN,PER,3895068
MCO,FLL,285148
CTU,HGH,1583346
HKG,SIN,2555450
BRU,CMN,2181968
SIN,RGN,1924218
TPA,TLH,321300
CMN,BRU,2181968
SGN,SIN,1087586
SIN,PNH,1131535
CTU,PVG,1707288
SIN,SGN,1087586
MNL,KIX,2629047
TPE,KIX,1703047
YUL,YQB,233339
TSF,CMN,2169971
CKG,SYX,1295343
SXM,SDQ,695103
KUL,SIN,297266
FLL,MCO,285148
CTU,CKG,276554
RGN,SIN,1924218
SIN,BKK,1409883
HGH,SIN,3638041
CMN,TSF,2169971
CTU,CGO,1026278
SIN,REP,1334000
CKG,HGH,1331469
ZRH,DRS,556916
CTU,PEK,1556350
RSW,MCO,214372
MCO,TLH,366928
SIN,KUL,297266
CTU,CAN,1222066
CGO,HRB,1621046
CKG,CTU,276554
CKG,NNG,802507
JAX,TPA,291002
CKG,XIY,560794
TLH,MCO,366928
PBI,TPA,280524
FLL,TPA,316622
CGO,URC,2489959
CMN,CUF,1805194
CSX,CTU,937992
MNL,SIN,2371806
TPA,FLL,316622
CMN,TLS,1379285
CTU,SYX,1467664
TPA,JAX,291002
CKG,TSN,1431985
KIX,TPE,1703047
CSX,XMN,634731
CGO,KMG,1482133
BLQ,CMN,2044616
LGW,CMN,2064690
CKG,PVG,1464020
CTU,WUH,983134
TPA,PBI,280524
TPE,SIN,3213157
CAN,CKG,964623
CKG,CAN,964623
CMN,BCN,1226712
SIN,TPE,3213157
CMN,LGW,2064690
CKG,PEK,1463168
CTU,SHE,2136598
NNG,CTU,977975
WUH,CTU,983134
SHE,YVR,8024678
CMN,BGY,2011342
YQB,YUL,233339
CKG,SZX,1061887
SIN,HKG,2555450
CKG,TYN,1048482
NKG,KMG,1723273
CGO,CTU,1026278
CTU,CSX,937992
HGH,TYN,1101589
TNA,CTU,1411383
SIN,MNL,2371806
SAW,CMN,3356780
HAK,SIN,2173040
PNH,SIN,1131535
CTU,HAK,1348498
CKG,WUH,737516
CTU,HKG,1350715
CTU,TNA,1411383
CKG,NKG,1190929
HAK,CKG,1150204
CKG,NGB,1432230
CTU,NKG,1426771
TNA,DLC,446338
CSX,FOC,686082
CSX,CKG,663164
CKG,URC,2313906
CTU,ICN,2207765
CGO,HGH,781523
CTU,XMN,1550177
CSX,KMG,1079719
KWE,SYX,950681
CTU,SZX,1317474
CTU,KMG,615112
CSX,WNZ,750849
HRB,NGB,1802529
CKG,SYD,8461501
CTU,TYN,1127225
HKG,CTU,1350715
CTU,URC,2071855
KWE,CTU,527639
HRB,NKG,1667848
CAN,CTU,1222066
TNA,SYX,2193600
CKG,CSX,663164
CTU,KWE,527639
FOC,CSX,686082
PEK,CKG,1463168
CTU,TSN,1546380
CKG,HAK,1150204
CSX,SHE,1759418
URC,XIY,2108283
KMG,XMN,1536949
KWE,HGH,1396297
HAK,HGH,1519267
HRB,WUH,1950998
URC,CTU,2071855
NGB,CKG,1432230
TNA,XIY,811430
CKG,KMG,629640
WNZ,CTU,1667970
FOC,XIY,1410500
CKG,CGO,862644
HGH,CTU,1583346
KMG,XIY,1178438
CTU,MEL,8671065
NNG,SGN,1314724
SYX,KWE,950681
SHE,CTU,2136598
DLC,TNA,446338
TSN,CKG,1431985
HAK,NGB,1559190
TSN,HGH,1026346
HGH,TSN,1026346
WNZ,HRB,2022493
HRB,CGO,1621046
SYX,CTU,1467664
CKG,DLC,1708135
KMG,KWE,419553
SYX,CKG,1295343
URC,CGO,2489959
NNG,WUH,1086396
SYX,KWL,768443
WUH,CKG,737516
KMG,NGB,1902656
KMG,CGO,1482133
NGB,HRB,1802529
HGH,HAK,1519267
KMG,CSX,1079719
SYX,NGB,1766917
CKG,TNA,1262206
CGO,CKG,862644
CTU,NNG,977975
HAK,CTU,1348498
HRB,TSN,1027850
NKG,SYX,1766013
NKG,CKG,1190929
TNA,HRB,1231714
KWE,KMG,419553
WUH,HRB,1950998
TYN,SHE,1025500
WUH,NNG,1086396
KMG,TPE,1845007
SZX,CTU,1317474
TYN,CTU,1127225
NGB,HAK,1559190
KMG,NKG,1723273
TNA,KMG,1882804
PVG,CTU,1707288
NGB,SYX,1766917
WNZ,CSX,750849
NGB,KMG,1902656
TPE,KMG,1845007
TSN,CTU,1546380
SYX,WNZ,1581220
DLC,HRB,834992
NGB,SHE,1323302
KWE,WNZ,1399349
TSN,HRB,1027850
KWL,SYX,768443
HGH,DLC,974403
NNG,CKG,802507
KMG,CTU,615112
DLC,HGH,974403
HRB,TNA,1231714
PVG,CKG,1464020
ICN,CTU,2207765
SYD,CKG,8461501
KMG,CKG,629640
HGH,CGO,781523
NKG,CTU,1426771
TYN,HGH,1101589
TNA,CKG,1262206
URC,CKG,2313906
XIY,TNA,811430
SJD,MEX,1178621
HRB,WNZ,2022493
SYX,NKG,1766013
SHE,CSX,1759418
NKG,HRB,1667848
WNZ,KWE,1399349
TYN,CKG,1048482
HGH,KWE,1396297
SGN,NNG,1314724
PEK,CTU,1556350
SYX,TNA,2193600
EZE,MIA,7090307
ZRH,AYT,2168913
MEX,MIA,2052636
CUN,MEX,1286167
MEX,GDL,459614
DLC,CKG,1708135
WNZ,SYX,1581220
HGH,CKG,1331469
HRB,DLC,834992
HRB,XIY,1934186
MEL,CTU,8671065
SHE,NGB,1323302
GDL,MEX,459614
CUN,MTY,1449653
YVR,SHE,8024678
CAI,TLV,392724
CTU,WNZ,1667970
CTU,XIY,622649
KMG,TNA,1882804
SZX,CKG,1061887
PUJ,EZE,5999487
GDL,MTY,668171
DFW,EZE,8506587
EZE,PUJ,5999487
PUJ,MIA,1466117
LAX,LAS,380170
JFK,EZE,8500318
XIY,XMN,1423771
SAT,GDL,1111074
HMO,MEX,1617709
SJD,GDL,723709
ACA,MEX,305194
LAS,MTY,1832303
AGP,STR,1739772
XMN,KMG,1536949
MTY,GDL,668171
MEX,BOG,3157550
XIY,CTU,622649
XIY,CKG,560794
AGP,TXL,2247360
CGN,HAM,363791
CGN,ATH,1954441
HRG,ZRH,3146940
XIY,FOC,1410500
MTY,SAT,446367
MEX,SJD,1178621
CGN,ARN,1191026
BGO,HAM,796205
CGN,FCO,1080638
SHE,TYN,1025500
JFK,MEX,3363723
MEX,SNA,2441056
XIY,HRB,1934186
ATH,CGN,1954441
BCN,HAJ,1368031
TLV,CAI,392724
XIY,KMG,1178438
CGN,BLQ,769260
GDL,SNA,2046874
MEX,SAT,1120119
BUD,CGN,960933
CGN,LIS,1852302
CGN,STN,493958
SNA,MEX,2441056
MEX,CUN,1286167
AYT,CGN,2435247
MTY,CUN,1449653
BCN,CGN,1132749
CGN,HER,2252729
MEX,JFK,3363723
CTA,DUS,1669756
GDL,SAT,1111074
XMN,XIY,1423771
MEX,MTY,710333
TIJ,GDL,1900776
BOG,MEX,3157550
MIA,EZE,7090307
MEX,ACA,305194
ALG,CGN,1605763
BRI,DUS,1363926
MEX,PVR,661123
GDL,SJD,723709
HRG,BSL,3217173
MEX,HAV,1772976
XIY,URC,2108283
XMN,CSX,634731
CGN,ALG,1605763
ZRH,HRG,3146940
MEX,TIJ,2300084
CAG,STR,1048803
DTM,PMI,1382594
MIA,MEX,2052636
MTY,LAS,1832303
XMN,CTU,1550177
