LIM,CUZ,586353
CUZ,LIM,586353
BOG,UIO,710324
ZRH,BRS,924996
ZRH,LCA,2508634
UIO,BOG,710324
GVA,LPA,2771226
LPA,ZRH,3001708
ZRH,BOD,772820
LCA,ZRH,2508634
TFS,GVA,2832827
BOD,ZRH,772820
ZRH,LPA,3001708
BRS,ZRH,924996
DWC,MNL,6938314
DKR,LOS,2447090
MNL,DWC,6938314
LOS,ACC,400782
MNL,CGY,752200
YQB,YUL,233339
ACC,LOS,400782
ACC,DKR,2148317
SIN,REP,1334000
MNL,KIX,2629047
CGY,MNL,752200
YUL,YQB,233339
TPA,JAX,291002
CMN,SAW,3356780
MCO,TLH,366928
CMN,BLQ,2044616
KUL,SIN,297266
DKR,ACC,2148317
BKK,SIN,1409883
REP,SIN,1334000
SIN,HAK,2173040
TPE,SIN,3213157
BLQ,CMN,2044616
CKG,TYN,1048482
BRU,CMN,2181968
TPE,KIX,1703047
SGN,SIN,1087586
LOS,DKR,2447090
SIN,KUL,297266
LGW,CMN,2064690
JAX,TPA,291002
TLH,TPA,321300
PER,SIN,3895068
CKG,CAN,964623
SIN,SGN,1087586
RSW,MCO,214372
SXM,SDQ,695103
KIX,TPE,1703047
CKG,SYX,1295343
FLL,TPA,316622
HGH,SIN,3638041
CKG,URC,2313906
CMN,BGY,2011342
CAN,CKG,964623
CMN,CUF,1805194
DRS,ZRH,556916
BGY,CMN,2011342
SIN,MNL,2371806
CMN,TLS,1379285
TPA,TLH,321300
HAK,SIN,2173040
RGN,SIN,1924218
CMN,BCN,1226712
CKG,HAK,1150204
SIN,TPE,3213157
TLH,MCO,366928
SDQ,SXM,695103
SIN,HGH,3638041
SAW,CMN,3356780
ZRH,DRS,556916
SIN,PER,3895068
CUF,CMN,1805194
SIN,PNH,1131535
HKG,SIN,2555450
KIX,MNL,2629047
SIN,HKG,2555450
MCO,FLL,285148
PNH,SIN,1131535
CKG,DLC,1708135
CKG,KMG,629640
CKG,CGO,862644
PEK,CKG,1463168
SIN,BKK,1409883
CMN,BRU,2181968
BCN,CMN,1226712
TPA,PBI,280524
MCO,RSW,214372
CMN,TSF,2169971
CKG,XIY,560794
CKG,NNG,802507
NNG,CTU,977975
NKG,KMG,1723273
CKG,NGB,1432230
HAK,CKG,1150204
SIN,RGN,1924218
MNL,SIN,2371806
PBI,TPA,280524
CTU,TSN,1546380
KMG,KWE,419553
CSX,CKG,663164
CKG,TNA,1262206
FOC,CSX,686082
CTU,TYN,1127225
FLL,MCO,285148
TPA,FLL,316622
CMN,LGW,2064690
CSX,FOC,686082
CKG,PEK,1463168
CSX,WNZ,750849
CKG,CSX,663164
CTU,NNG,977975
CSX,XMN,634731
CTU,HKG,1350715
CGO,URC,2489959
CTU,KMG,615112
CTU,SZX,1317474
CTU,CSX,937992
HRB,CGO,1621046
CGO,CTU,1026278
CTU,XMN,1550177
CTU,CKG,276554
HKG,CTU,1350715
TSF,CMN,2169971
KMG,XIY,1178438
CKG,PVG,1464020
CTU,WUH,983134
DLC,HGH,974403
HGH,CGO,781523
CTU,CGO,1026278
HGH,HAK,1519267
HRB,XIY,1934186
CTU,CAN,1222066
HRB,TSN,1027850
CGO,CKG,862644
CKG,SYD,8461501
KMG,CTU,615112
CGO,HGH,781523
CKG,WUH,737516
CKG,CTU,276554
CGO,KMG,1482133
CKG,NKG,1190929
CKG,TSN,1431985
DLC,HRB,834992
CTU,SHE,2136598
NKG,CTU,1426771
SZX,CKG,1061887
CSX,SHE,1759418
HGH,TYN,1101589
HRB,NGB,1802529
HAK,CTU,1348498
CSX,CTU,937992
CSX,KMG,1079719
NGB,CKG,1432230
PVG,CKG,1464020
CTU,PEK,1556350
DLC,CKG,1708135
TSN,CTU,1546380
TLS,CMN,1379285
HRB,NKG,1667848
CAN,CTU,1222066
CKG,SZX,1061887
MEL,CTU,8671065
KWE,SYX,950681
KMG,NGB,1902656
CTU,SYX,1467664
SYX,KWL,768443
TSN,HRB,1027850
PVG,CTU,1707288
NKG,SYX,1766013
HRB,WNZ,2022493
HGH,DLC,974403
NKG,HRB,1667848
SHE,CTU,2136598
CKG,HGH,1331469
CGO,HRB,1621046
KWE,CTU,527639
KMG,XMN,1536949
NGB,HAK,1559190
SHE,CSX,1759418
HRB,WUH,1950998
HAK,NGB,1559190
CTU,WNZ,1667970
KWE,HGH,1396297
KWE,WNZ,1399349
HRB,DLC,834992
CTU,TNA,1411383
CTU,KWE,527639
NGB,HRB,1802529
KMG,CKG,629640
KMG,NKG,1723273
CTU,HAK,1348498
CTU,MEL,8671065
KMG,CGO,1482133
CTU,ICN,2207765
XIY,HRB,1934186
HGH,KWE,1396297
HGH,CKG,1331469
NGB,SHE,1323302
NNG,SGN,1314724
PEK,CTU,1556350
DLC,TNA,446338
TYN,CTU,1127225
HAK,HGH,1519267
TNA,DLC,446338
KWL,SYX,768443
NGB,SYX,1766917
CTU,PVG,1707288
CTU,XIY,622649
HRB,TNA,1231714
SYX,WNZ,1581220
TSN,HGH,1026346
XMN,KMG,1536949
KMG,TNA,1882804
SGN,NNG,1314724
LAX,LAS,380170
NNG,WUH,1086396
HGH,TSN,1026346
LAS,LAX,380170
FOC,XIY,1410500
URC,XIY,2108283
XIY,CTU,622649
KMG,CSX,1079719
TYN,CKG,1048482
WUH,NNG,1086396
NKG,CKG,1190929
CTU,NKG,1426771
CTU,URC,2071855
KMG,TPE,1845007
TNA,SYX,2193600
XIY,CKG,560794
TNA,CTU,1411383
HGH,CTU,1583346
KWE,KMG,419553
SYD,CKG,8461501
XMN,CTU,1550177
NGB,KMG,1902656
SYX,NKG,1766013
XIY,TNA,811430
YVR,SHE,8024678
BHX,HAM,797033
SZX,CTU,1317474
SYX,CKG,1295343
ICN,CTU,2207765
CTU,HGH,1583346
WNZ,SYX,1581220
SYX,NGB,1766917
NNG,CKG,802507
WNZ,CTU,1667970
MEX,PVR,661123
BCN,STR,995152
TYN,SHE,1025500
HRG,BSL,3217173
CAG,DUS,1349678
TNA,KMG,1882804
GDL,SNA,2046874
URC,CGO,2489959
SHE,YVR,8024678
WUH,CTU,983134
TNA,HRB,1231714
MEX,MTY,710333
MTY,SAT,446367
XIY,KMG,1178438
MTY,MEX,710333
XIY,URC,2108283
URC,CTU,2071855
SYX,CTU,1467664
MEX,ACA,305194
URC,CKG,2313906
XMN,XIY,1423771
WUH,HRB,1950998
SAT,GDL,1111074
TPE,KMG,1845007
ACA,MEX,305194
WNZ,KWE,1399349
TNA,CKG,1262206
JFK,MEX,3363723
EZE,JFK,8500318
TSN,CKG,1431985
MEX,SNA,2441056
CAI,TLV,392724
XIY,XMN,1423771
EZE,MIA,7090307
ARN,DUS,1164736
CUN,MEX,1286167
SHE,TYN,1025500
SYX,KWE,950681
TYN,HGH,1101589
WUH,CKG,737516
MTY,GDL,668171
MEX,BOG,3157550
WNZ,HRB,2022493
CAG,CGN,1299374
LAS,MTY,1832303
MIA,PUJ,1466117
EZE,DFW,8506587
GDL,SAT,1111074
MEX,HAV,1772976
MEX,SAT,1120119
ARN,CGN,1191026
BRI,CGN,1310585
EZE,PUJ,5999487
TLV,CAI,392724
TNA,XIY,811430
BCN,HAM,1493071
DFW,EZE,8506587
WNZ,CSX,750849
MEX,HMO,1617709
SYX,TNA,2193600
PUJ,EZE,5999487
GDL,MEX,459614
AYT,ZRH,2168913
ZRH,PRN,1122471
MEX,CUN,1286167
SNA,MEX,2441056
BOG,MEX,3157550
ZRH,HRG,3146940
BRU,STR,420401
HAV,MEX,1772976
ATH,CGN,1954441
SHE,NGB,1323302
XIY,FOC,1410500
ZRH,AYT,2168913
AGP,STR,1739772
SJD,GDL,723709
HMO,MEX,1617709
BCN,DUS,1167369
CGN,ALG,1605763
MEX,TIJ,2300084
BLQ,CGN,769260
PVR,MEX,661123
BRE,STR,485729
SJD,MEX,1178621
BCN,CGN,1132749
HRG,ZRH,3146940
BLQ,TXL,904335
MTY,LAS,1832303
BSL,DUS,415195
BRI,DUS,1363926
CGN,AYT,2435247
GDL,TIJ,1900776
BEG,STR,948905
MEX,MIA,2052636
SNA,GDL,2046874
CUN,MTY,1449653
MIA,MEX,2052636
BGO,HAM,796205
